User_ID,Session_ID,Timestamp,Page_URL,Time_Spent_seconds,Clicks,Browser_Type,Device_Type,Article_Category,Article_Name,Interacted_Elements,Video_Views,Geo_Location
U003,931ed3fd-db60-42ab-b7ee-f7e6fd0d7b11,2024-04-07 05:02:29,https://crossdevblog.com/article/61,17,186,Chrome,Mobile,Ciencia,Explorando el ocÃ©ano profundo: Nuevos descubrimientos,4,videos,"UK, London"
U004,ca1224f9-eadf-4532-88f1-2919239482aa,2024-03-22 06:38:18,https://crossdevblog.com/article/66,16,546,Safari,Tablet,Politica,Enmiendas constitucionales: Pros y contras,4,links,"UK, London"
U002,ab42b251-f2b9-427d-803c-0d2c696a6c36,2024-03-30 11:05:57,https://crossdevblog.com/article/68,3,503,Edge,Tablet,Politica,Sanciones internacionales y guerras comerciales,3,links,"UK, London"
U005,a1dc4353-d781-4714-8f60-b9f9eb77b055,2024-05-11 09:29:07,https://crossdevblog.com/article/79,12,53,Edge,Mobile,Deportes,AnalÃ­tica deportiva: El cambio de juego,4,buttons,"Colombia, Bogota"
U001,4886ad35-7740-4afd-b3c0-1fd170dcf2f6,2024-03-20 17:56:12,https://crossdevblog.com/article/85,11,541,Chrome,Desktop,Tecnologia,El futuro de la computaciÃ³n en la nube,1,videos,"Australia, Sydney"
U001,ec20340c-0ae4-43da-94d2-7352fd41115e,2024-02-13 18:40:54,https://crossdevblog.com/article/88,7,492,Firefox,Desktop,Politica,Reformas electorales: Â¿QuÃ© sigue?,1,forms,"Colombia, Bogota"
U001,ebfbd759-2993-42cb-b614-776fb75f99cf,2024-02-17 15:10:34,https://crossdevblog.com/article/76,13,417,Edge,Mobile,Politica,El papel de las mujeres en la polÃ­tica,2,multimedia,"Colombia, Bogota"
U003,f01d5257-c792-46ba-9a02-ff5096f16d1b,2024-11-24 14:59:57,https://crossdevblog.com/article/19,16,448,Edge,Desktop,Ciencia,Los Ãºltimos avances en la exploraciÃ³n espacial,2,videos,"Colombia, Bogota"
U005,3d6a7ea9-3e2c-4aa1-9c86-fb184a144a4a,2024-02-13 02:43:11,https://crossdevblog.com/article/82,9,353,Safari,Desktop,Salud,Rutinas de ejercicio para un corazÃ³n saludable,5,links,"Australia, Sydney"
U001,440e3397-f9e4-449c-8a3b-64fa085d7e40,2024-10-04 01:47:30,https://crossdevblog.com/article/83,20,596,Safari,Tablet,Politica,Debatiendo la polÃ­tica de salud,3,forms,"UK, London"
U001,c18dd15e-aab1-4636-9991-50ed0fd5dc83,2024-12-17 15:31:20,https://crossdevblog.com/article/35,16,525,Safari,Desktop,Salud,Conciencia sobre la salud mental en 2024,2,forms,"Australia, Sydney"
U001,190d5a46-2d35-49e6-b0f1-d2bc2e3965b0,2024-05-22 19:14:26,https://crossdevblog.com/article/30,9,379,Safari,Tablet,Deportes,Juegos OlÃ­mpicos 2024: QuÃ© esperar,4,images,"Germany, Berlin"
U002,274739fb-62a3-409f-8f81-2e4d412d25cb,2024-05-01 14:57:01,https://crossdevblog.com/article/23,12,394,Chrome,Tablet,Entretenimiento,El impacto de las redes sociales en las celebridades,1,videos,"USA, New York"
U001,98abd89f-41fe-4019-8967-ddd02ce1cc7a,2024-12-22 12:00:57,https://crossdevblog.com/article/40,19,457,Edge,Mobile,Salud,La importancia de la atenciÃ³n preventiva,0,forms,"Colombia, Bogota"
U004,af628263-9b0f-41f5-8c98-939adf56e110,2024-02-03 01:15:34,https://crossdevblog.com/article/34,17,158,Edge,Tablet,Salud,CÃ³mo mantenerse saludable mientras viajas,3,multimedia,"UK, London"
U002,0fe7a887-41e8-43aa-a5fe-fdb07be28712,2024-08-31 03:42:04,https://crossdevblog.com/article/20,2,92,Safari,Desktop,Salud,Los beneficios de una dieta basada en plantas,0,images,"Germany, Berlin"
U001,4156294f-788e-4d03-b912-0a60d428fce2,2024-08-09 15:21:23,https://crossdevblog.com/article/2,2,245,Chrome,Tablet,Salud,Las principales tendencias de fitness en 2024,4,images,"UK, London"
U004,72246881-17d6-4fb3-a173-2ed834060eb7,2024-03-21 10:01:43,https://crossdevblog.com/article/65,13,377,Edge,Mobile,Ciencia,Entendiendo la fÃ­sica cuÃ¡ntica,5,links,"USA, New York"
U002,65cbe3db-4c61-4fb6-bc1f-643c4affa73d,2024-01-14 20:23:10,https://crossdevblog.com/article/48,13,431,Safari,Mobile,Salud,El futuro de la telemedicina,0,images,"Canada, Toronto"
U003,80de259b-d4ae-4a97-8984-6f49328ede47,2024-05-12 01:14:19,https://crossdevblog.com/article/2,9,516,Safari,Desktop,Ciencia,El debate Ã©tico en torno a la clonaciÃ³n,0,forms,"Germany, Berlin"
U005,401a7d17-344c-438f-8647-850b908eee37,2024-04-15 01:27:36,https://crossdevblog.com/article/69,17,506,Safari,Desktop,Ciencia,Entendiendo el cerebro humano,3,forms,"USA, New York"
U005,fdab9333-4f5a-45ea-b306-76cf23c599fb,2024-12-17 18:10:07,https://crossdevblog.com/article/44,20,186,Safari,Desktop,Entretenimiento,Las estrellas mÃ¡s grandes de Hollywood en 2024,3,images,"Australia, Sydney"
U002,984d98af-039d-4540-a647-26b8c3a8263e,2024-02-01 20:24:34,https://crossdevblog.com/article/12,1,223,Edge,Desktop,Salud,Los Ãºltimos avances en la investigaciÃ³n del cÃ¡ncer,0,multimedia,"Germany, Berlin"
U002,b8804871-9556-4f26-850c-677de2468964,2024-06-30 16:58:43,https://crossdevblog.com/article/3,4,307,Safari,Tablet,Salud,El papel de la salud intestinal en la inmunidad,3,videos,"Colombia, Bogota"
U002,1a74cf9b-4b06-44d3-8cf4-530136cf06ce,2024-04-17 07:23:12,https://crossdevblog.com/article/34,20,63,Chrome,Tablet,Politica,Una mirada a los movimientos polÃ­ticos globales,3,multimedia,"Canada, Toronto"
U002,20939806-557c-4c3d-a4f2-b4d7c10a4328,2024-04-30 10:48:10,https://crossdevblog.com/article/64,14,349,Safari,Tablet,Tecnologia,Avances en biotecnologÃ­a,5,images,"USA, New York"
U002,0325f34b-7fa9-4514-b443-1931a859b47b,2024-01-01 00:41:08,https://crossdevblog.com/article/100,16,440,Chrome,Desktop,Salud,CÃ³mo el sueÃ±o afecta el bienestar general,5,buttons,"Australia, Sydney"
U001,3d4b7afe-a669-4161-8659-c7d64d54f74c,2024-06-14 03:35:40,https://crossdevblog.com/article/42,4,523,Firefox,Desktop,Entretenimiento,Festivales de mÃºsica para ver este aÃ±o,2,forms,"Canada, Toronto"
U004,9efe31e9-f798-47c8-8eca-9d298292fa25,2024-08-16 06:12:19,https://crossdevblog.com/article/59,19,131,Chrome,Desktop,Negocios,DesafÃ­os de la cadena de suministro global,2,images,"USA, New York"
U005,b54b67d9-8479-47ed-874a-0dfe56340e36,2024-02-23 20:06:47,https://crossdevblog.com/article/42,3,552,Chrome,Tablet,Politica,El futuro de la diplomacia internacional,2,forms,"Colombia, Bogota"
U005,6f09e426-8e8f-4972-9736-f62d3ed905e4,2024-12-25 13:26:30,https://crossdevblog.com/article/1,11,465,Safari,Mobile,Salud,Manejo de la diabetes a travÃ©s de la dieta,5,forms,"Colombia, Bogota"
U005,8844182f-632c-4df2-9489-24361e446636,2024-10-09 18:08:38,https://crossdevblog.com/article/61,1,259,Edge,Mobile,Ciencia,El futuro de la ediciÃ³n genÃ©tica,3,forms,"Australia, Sydney"
U004,2a10fc3f-0980-4b85-8ef3-5bebc30de305,2024-09-23 14:50:00,https://crossdevblog.com/article/95,8,321,Edge,Tablet,Salud,La ciencia de la longevidad,4,images,"Australia, Sydney"
U005,288c23e0-6ee8-41a5-b807-887d2725d1a4,2024-06-29 01:13:38,https://crossdevblog.com/article/55,10,61,Firefox,Mobile,Deportes,Consejos de entrenamiento para maratones para principiantes,2,buttons,"Germany, Berlin"
U004,a618c82d-4d89-4a01-9ac6-d8184555ad4f,2024-07-02 21:04:29,https://crossdevblog.com/article/21,17,283,Safari,Tablet,Tecnologia,CÃ³mo la impresiÃ³n 3D estÃ¡ revolucionando la fabricaciÃ³n,4,videos,"Germany, Berlin"
U003,1a7faae8-cc21-4baa-8908-f467f46b7360,2024-06-09 22:35:08,https://crossdevblog.com/article/93,5,133,Chrome,Desktop,Tecnologia,Blockchain mÃ¡s allÃ¡ de las criptomonedas,5,images,"USA, New York"
U005,a4ae9f8b-19d6-4afe-80c3-7bbed9400a86,2024-06-14 23:02:47,https://crossdevblog.com/article/28,19,487,Edge,Mobile,Negocios,La economÃ­a de trabajos temporales: Pros y contras,2,multimedia,"Australia, Sydney"
U002,e5760aa6-6db1-4a81-b4da-079f8dc7eba1,2024-03-02 12:18:08,https://crossdevblog.com/article/81,14,480,Safari,Mobile,Tecnologia,ExploraciÃ³n espacial: La nueva frontera tecnolÃ³gica,1,images,"Germany, Berlin"
U001,cdb992fd-3f57-4079-ab40-eda4ee59d7c5,2024-11-14 04:51:23,https://crossdevblog.com/article/91,20,268,Safari,Tablet,Deportes,Jugadores clave a seguir en la NBA,0,forms,"UK, London"
U004,195fbad1-154e-4057-85bc-b61b5e6eb86e,2024-07-16 09:09:04,https://crossdevblog.com/article/67,2,225,Safari,Desktop,Salud,El futuro de la telemedicina,3,videos,"USA, New York"
U004,03c5e690-dece-401a-887a-83a86681069b,2024-05-18 10:58:51,https://crossdevblog.com/article/78,18,551,Edge,Tablet,Negocios,CÃ³mo fomentar la innovaciÃ³n en el lugar de trabajo,1,buttons,"UK, London"
U004,a2273240-01bd-4774-931b-79da0148caac,2024-12-05 23:14:45,https://crossdevblog.com/article/66,1,88,Safari,Mobile,Deportes,El legado de los entrenadores deportivos famosos,2,images,"UK, London"
U001,88cba6f0-6177-4ad1-b560-4e446623a0fb,2024-03-05 23:54:20,https://crossdevblog.com/article/82,10,432,Edge,Mobile,Deportes,El auge de los deportes extremos,2,videos,"Australia, Sydney"
U005,45874134-bd7e-4781-bd74-8dbdb99e9f48,2024-08-22 20:44:03,https://crossdevblog.com/article/70,8,125,Safari,Mobile,Politica,Reformas electorales: Â¿QuÃ© sigue?,5,links,"Germany, Berlin"
U005,8218f99b-a4ad-4e44-84e2-c8f18f5623cb,2024-07-13 13:30:35,https://crossdevblog.com/article/67,17,136,Firefox,Desktop,Tecnologia,El Internet de las cosas: Conectando el mundo,5,multimedia,"Canada, Toronto"
