User_ID,Session_ID,Timestamp,Page_URL,Time_Spent_seconds,Clicks,Browser_Type,Device_Type,Article_Category,Article_Name,Interacted_Elements,Video_Views,Geo_Location
U002,840b0dc4-7129-4dda-b48b-c6a1839d4112,2024-09-12 19:34:26,https://crossdevblog.com/article/53,17,120,Edge,Mobile,Tecnologia,CÃ³mo la impresiÃ³n 3D estÃ¡ revolucionando la fabricaciÃ³n,3,buttons,"Germany, Berlin"
U004,61259e00-02f3-4cf8-b0f6-9da77dd3289c,2024-08-03 04:41:53,https://crossdevblog.com/article/49,7,415,Chrome,Mobile,Entretenimiento,Los mejores documentales que debes ver,1,multimedia,"Australia, Sydney"
U003,0bce29c3-d4a7-43ea-905d-a5b42a5c0ed3,2024-12-15 23:31:11,https://crossdevblog.com/article/3,8,401,Edge,Mobile,Deportes,Jugadores clave a seguir en la NBA,4,multimedia,"Canada, Toronto"
U002,b94c032e-c128-438d-9e60-a79498a16cd0,2024-11-14 01:12:02,https://crossdevblog.com/article/13,6,382,Firefox,Mobile,Salud,El papel de la salud intestinal en la inmunidad,5,images,"Colombia, Bogota"
U005,0e11d4b9-de38-4b98-aeaf-c56d8e8c3dbb,2024-03-14 14:46:52,https://crossdevblog.com/article/16,13,58,Edge,Desktop,Politica,Enmiendas constitucionales: Pros y contras,4,images,"USA, New York"
U005,69fefe70-1564-4d96-aee1-fa22bdc2c018,2024-07-26 20:36:36,https://crossdevblog.com/article/14,18,55,Edge,Mobile,Politica,Descifrando las nuevas leyes fiscales,2,buttons,"Colombia, Bogota"
U001,2fa49b79-091b-4880-94c2-7b7d6eca797e,2024-10-18 18:54:38,https://crossdevblog.com/article/27,11,19,Safari,Mobile,Ciencia,CÃ³mo la actividad humana afecta a los ecosistemas,2,multimedia,"Germany, Berlin"
U004,4b97459c-a0d7-4ec1-9917-fbd3735ee348,2024-02-03 00:29:06,https://crossdevblog.com/article/27,15,591,Safari,Mobile,Ciencia,Los Ãºltimos avances en la exploraciÃ³n espacial,1,multimedia,"UK, London"
U003,ca6e1c85-f3d0-4268-984e-9eb5164a6d58,2024-01-04 20:05:04,https://crossdevblog.com/article/24,19,103,Safari,Desktop,Entretenimiento,El impacto de las redes sociales en las celebridades,5,forms,"Germany, Berlin"
U002,29353039-4320-440a-a140-d4df66c8aaa1,2024-05-27 23:29:34,https://crossdevblog.com/article/64,3,200,Chrome,Desktop,Politica,Enmiendas constitucionales: Pros y contras,1,videos,"Germany, Berlin"
U004,f5300b17-edc4-4eb0-a2c4-4dd891c36179,2024-01-07 16:40:20,https://crossdevblog.com/article/97,20,454,Firefox,Tablet,Ciencia,La bÃºsqueda de vida extraterrestre,3,links,"UK, London"
U003,b7058e3e-5be3-42bc-95d3-58b64710796b,2024-12-02 00:44:25,https://crossdevblog.com/article/18,10,264,Safari,Mobile,Deportes,Dentro del mundo de la nataciÃ³n competitiva,2,multimedia,"Canada, Toronto"
U001,11ac27f4-c87b-40c3-b9ce-8972b068ab42,2024-04-13 14:44:59,https://crossdevblog.com/article/93,19,113,Edge,Mobile,Ciencia,La importancia de la biodiversidad,0,forms,"Colombia, Bogota"
U003,f52f67eb-d04b-45d7-9799-4b18882c3e75,2024-06-20 03:22:59,https://crossdevblog.com/article/100,3,211,Firefox,Mobile,Tecnologia,Avances en tecnologÃ­a verde,5,forms,"Germany, Berlin"
U003,bab676d4-561a-4011-b15c-02a875b2bc9c,2024-10-25 07:37:16,https://crossdevblog.com/article/49,16,279,Firefox,Tablet,Deportes,Jugadores clave a seguir en la NBA,4,images,"Germany, Berlin"
U002,3a001bee-294e-467d-a0ca-b7bf5a22b051,2024-03-22 10:03:46,https://crossdevblog.com/article/32,17,141,Safari,Mobile,Entretenimiento,El futuro de la realidad virtual en el entretenimiento,2,buttons,"Germany, Berlin"
U001,36364048-92c8-4d6b-8d15-89d74daac073,2024-03-24 16:39:41,https://crossdevblog.com/article/76,18,491,Safari,Mobile,Deportes,Rompiendo rÃ©cords en atletismo,2,videos,"Canada, Toronto"
U001,ba55d11c-87af-4de4-9541-c8685ca9a956,2024-08-19 02:19:39,https://crossdevblog.com/article/17,5,71,Chrome,Tablet,Deportes,Los 10 mejores momentos del tenis del aÃ±o,2,links,"Australia, Sydney"
U004,1bdfcfa7-7bea-47e2-9dd5-4d3124d7d1ca,2024-10-30 14:23:44,https://crossdevblog.com/article/57,13,182,Firefox,Tablet,Salud,Comprendiendo la importancia de la hidrataciÃ³n,3,multimedia,"Australia, Sydney"
U005,cdfb50a7-7add-465c-91d7-b31ad0606292,2024-01-18 06:09:13,https://crossdevblog.com/article/59,13,351,Safari,Mobile,Ciencia,Explorando el ocÃ©ano profundo: Nuevos descubrimientos,2,multimedia,"UK, London"
U005,c7ac0944-2c22-43d5-a0d3-fb713d38c99e,2024-06-05 11:18:59,https://crossdevblog.com/article/81,18,286,Edge,Desktop,Ciencia,Nuevos avances en energÃ­a renovable,5,images,"USA, New York"
U004,d0089fd3-1b43-44f7-8b8e-fa346fdc8599,2024-12-06 21:09:46,https://crossdevblog.com/article/89,20,388,Chrome,Tablet,Politica,El papel de las redes sociales en la polÃ­tica,5,images,"Germany, Berlin"
U001,699b8c03-8adf-4223-a22f-26ff01fad1d0,2024-03-01 09:07:34,https://crossdevblog.com/article/61,7,326,Safari,Mobile,Politica,Tensiones geopolÃ­ticas en el Medio Oriente,3,forms,"Germany, Berlin"
U003,2ff5acbc-14b9-4923-b9ba-941d7175cbc8,2024-11-26 11:40:11,https://crossdevblog.com/article/38,8,527,Edge,Desktop,Politica,LÃ­deres emergentes del maÃ±ana,4,multimedia,"Australia, Sydney"
U003,4e94f757-65ae-483a-be9d-513340fff86f,2024-07-20 03:53:34,https://crossdevblog.com/article/89,16,42,Safari,Desktop,Ciencia,Cambio climÃ¡tico: CÃ³mo estÃ¡ afectando a la vida silvestre,3,links,"UK, London"
U005,1faecb7f-e58e-4346-8a9f-01ef439a8de1,2024-10-07 04:42:40,https://crossdevblog.com/article/66,19,216,Edge,Tablet,Ciencia,El futuro de la ediciÃ³n genÃ©tica,4,multimedia,"Germany, Berlin"
U003,45cf3cd3-cc4f-4b5d-a353-33ebed795270,2024-11-10 04:55:28,https://crossdevblog.com/article/29,16,546,Firefox,Desktop,Salud,Los beneficios de los exÃ¡menes mÃ©dicos regulares,0,videos,"Germany, Berlin"
U003,0fe5da81-938c-4571-8a30-d20ae8b93c58,2024-06-30 17:15:17,https://crossdevblog.com/article/44,19,114,Safari,Mobile,Ciencia,La bÃºsqueda de vida extraterrestre,4,buttons,"Germany, Berlin"
U001,fb8e6b9c-2b6a-4414-981f-b21d2b9affc1,2024-07-02 13:08:31,https://crossdevblog.com/article/9,10,354,Firefox,Desktop,Deportes,El legado de los entrenadores deportivos famosos,1,videos,"Australia, Sydney"
